ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,DatabaseHaveWorkedWith
73,Pakistan,7322.0,Data & AI,MongoDB
73,Pakistan,7322.0,Data & AI,MySQL
73,Pakistan,7322.0,Data & AI,SQLite
375,Austria,30074.0,Research & Education,PostgreSQL
380,Turkey,91295.0,Data & AI,DuckDB
380,Turkey,91295.0,Data & AI,PostgreSQL
380,Turkey,91295.0,Data & AI,SQLite
386,France,53703.0,Software Developer,BigQuery
386,France,53703.0,Software Developer,MongoDB
386,France,53703.0,Software Developer,PostgreSQL
386,France,53703.0,Software Developer,Snowflake
390,USA,110000.0,Research & Education,IBM DB2
390,USA,110000.0,Research & Education,MySQL
390,USA,110000.0,Research & Education,SQLite
393,Uk,161044.0,Management,BigQuery
393,Uk,161044.0,Management,Oracle
393,Uk,161044.0,Management,PostgreSQL
396,Uk,121018.0,Other,BigQuery
396,Uk,121018.0,Other,Elasticsearch
396,Uk,121018.0,Other,MySQL
396,Uk,121018.0,Other,PostgreSQL
399,USA,195000.0,Software Developer,Microsoft SQL Server
399,USA,195000.0,Software Developer,PostgreSQL
399,USA,195000.0,Software Developer,Snowflake
404,Bulgaria,44586.0,Software Developer,MySQL
410,France,57999.0,Research & Education,PostgreSQL
415,Uk,184712.0,Software Developer,No database reported
416,Greece,79481.0,Software Developer,MongoDB
417,Brazil,170000.0,Software Developer,Elasticsearch
417,Brazil,170000.0,Software Developer,PostgreSQL
418,Germany,29000.0,Research & Education,No database reported
424,Italy,66592.0,Software Developer,Cloud Firestore
424,Italy,66592.0,Software Developer,Dynamodb
424,Italy,66592.0,Software Developer,PostgreSQL
424,Italy,66592.0,Software Developer,Redis
424,Italy,66592.0,Software Developer,SQLite
425,Germany,85925.0,Software Developer,No database reported
426,Uk,124840.0,Software Developer,No database reported
427,Ukraine,50000.0,Software Developer,No database reported
432,USA,85000.0,Software Developer,Microsoft SQL Server
433,USA,160000.0,Software Developer,MariaDB
433,USA,160000.0,Software Developer,Microsoft SQL Server
433,USA,160000.0,Software Developer,PostgreSQL
441,USA,110000.0,Software Developer,No database reported
443,USA,190000.0,Management,No database reported
444,Uk,161783.0,Other,Dynamodb
444,Uk,161783.0,Other,PostgreSQL
444,Uk,161783.0,Other,SQLite
445,Uk,146496.0,Software Developer,MySQL
445,Uk,146496.0,Software Developer,SQLite
446,Russia,12773.0,Software Developer,PostgreSQL
447,Germany,69814.0,Software Developer,MariaDB
447,Germany,69814.0,Software Developer,MongoDB
447,Germany,69814.0,Software Developer,PostgreSQL
447,Germany,69814.0,Software Developer,SQLite
448,USA,115000.0,Software Developer,Microsoft SQL Server
452,South Africa,64570.0,Software Developer,Firebird
452,South Africa,64570.0,Software Developer,Microsoft Access
452,South Africa,64570.0,Software Developer,Microsoft SQL Server
452,South Africa,64570.0,Software Developer,MySQL
452,South Africa,64570.0,Software Developer,PostgreSQL
452,South Africa,64570.0,Software Developer,SQLite
456,France,101896.0,Software Developer,PostgreSQL
459,Czech Republic,52122.0,Software Developer,No database reported
460,France,54777.0,Software Developer,Cosmos DB
460,France,54777.0,Software Developer,Microsoft SQL Server
460,France,54777.0,Software Developer,MongoDB
460,France,54777.0,Software Developer,Redis
460,France,54777.0,Software Developer,SQLite
465,Germany,27926.0,Software Developer,No database reported
466,Italy,107406.0,Management,MongoDB
466,Italy,107406.0,Management,Oracle
