ResponseId,Age,Country_Normalized,ConvertedCompYearly,DatabaseWantToWorkWith
73,18-24 years old,Pakistan,7322.0,BigQuery
73,18-24 years old,Pakistan,7322.0,Cassandra
73,18-24 years old,Pakistan,7322.0,Databricks SQL
73,18-24 years old,Pakistan,7322.0,Elasticsearch
73,18-24 years old,Pakistan,7322.0,Neo4J
73,18-24 years old,Pakistan,7322.0,PostgreSQL
73,18-24 years old,Pakistan,7322.0,Snowflake
375,25-34 years old,Austria,30074.0,PostgreSQL
380,35-44 years old,Turkey,91295.0,Clickhouse
380,35-44 years old,Turkey,91295.0,DuckDB
380,35-44 years old,Turkey,91295.0,PostgreSQL
380,35-44 years old,Turkey,91295.0,SQLite
386,35-44 years old,France,53703.0,BigQuery
386,35-44 years old,France,53703.0,PostgreSQL
386,35-44 years old,France,53703.0,Snowflake
390,25-34 years old,USA,110000.0,Cassandra
390,25-34 years old,USA,110000.0,MariaDB
390,25-34 years old,USA,110000.0,MongoDB
390,25-34 years old,USA,110000.0,Snowflake
393,35-44 years old,Uk,161044.0,BigQuery
393,35-44 years old,Uk,161044.0,PostgreSQL
393,35-44 years old,Uk,161044.0,Redis
396,45-54 years old,Uk,121018.0,BigQuery
396,45-54 years old,Uk,121018.0,PostgreSQL
399,45-54 years old,USA,195000.0,Microsoft SQL Server
399,45-54 years old,USA,195000.0,MongoDB
399,45-54 years old,USA,195000.0,PostgreSQL
404,35-44 years old,Bulgaria,44586.0,No database reported
410,55-64 years old,France,57999.0,PostgreSQL
415,45-54 years old,Uk,184712.0,No database reported
416,35-44 years old,Greece,79481.0,MongoDB
417,35-44 years old,Brazil,170000.0,Cockroachdb
417,35-44 years old,Brazil,170000.0,Elasticsearch
417,35-44 years old,Brazil,170000.0,PostgreSQL
418,25-34 years old,Germany,29000.0,No database reported
424,25-34 years old,Italy,66592.0,Cassandra
424,25-34 years old,Italy,66592.0,MongoDB
424,25-34 years old,Italy,66592.0,PostgreSQL
424,25-34 years old,Italy,66592.0,Redis
424,25-34 years old,Italy,66592.0,Supabase
425,55-64 years old,Germany,85925.0,No database reported
426,35-44 years old,Uk,124840.0,No database reported
427,18-24 years old,Ukraine,50000.0,No database reported
432,35-44 years old,USA,85000.0,Microsoft SQL Server
433,35-44 years old,USA,160000.0,MariaDB
433,35-44 years old,USA,160000.0,Microsoft SQL Server
433,35-44 years old,USA,160000.0,PostgreSQL
441,55-64 years old,USA,110000.0,No database reported
443,35-44 years old,USA,190000.0,No database reported
444,35-44 years old,Uk,161783.0,Cockroachdb
444,35-44 years old,Uk,161783.0,DuckDB
444,35-44 years old,Uk,161783.0,Dynamodb
444,35-44 years old,Uk,161783.0,Elasticsearch
444,35-44 years old,Uk,161783.0,Neo4J
445,25-34 years old,Uk,146496.0,SQLite
446,18-24 years old,Russia,12773.0,Elasticsearch
446,18-24 years old,Russia,12773.0,PostgreSQL
446,18-24 years old,Russia,12773.0,Redis
447,25-34 years old,Germany,69814.0,MariaDB
447,25-34 years old,Germany,69814.0,MongoDB
447,25-34 years old,Germany,69814.0,PostgreSQL
447,25-34 years old,Germany,69814.0,Redis
447,25-34 years old,Germany,69814.0,SQLite
448,45-54 years old,USA,115000.0,No database reported
452,25-34 years old,South Africa,64570.0,PostgreSQL
452,25-34 years old,South Africa,64570.0,SQLite
456,25-34 years old,France,101896.0,PostgreSQL
459,35-44 years old,Czech Republic,52122.0,No database reported
460,25-34 years old,France,54777.0,Microsoft SQL Server
465,35-44 years old,Germany,27926.0,No database reported
466,45-54 years old,Italy,107406.0,MongoDB
466,45-54 years old,Italy,107406.0,PostgreSQL
466,45-54 years old,Italy,107406.0,Redis
466,45-54 years old,Italy,107406.0,SQLite
468,25-34 years old,Brazil,37297.0,PostgreSQL
468,25-34 years old,Brazil,37297.0,SQLite
470,45-54 years old,USA,140000.0,No database reported
473,25-34 years old,Iran,213840.0,Elasticsearch
473,25-34 years old,Iran,213840.0,PostgreSQL
473,25-34 years old,Iran,213840.0,SQLite
477,25-34 years old,Italy,4833.0,No database reported
478,55-64 years old,USA,200000.0,No database reported
485,18-24 years old,Ukraine,148.0,No database reported
486,25-34 years old,USA,93000.0,MongoDB
486,25-34 years old,USA,93000.0,PostgreSQL
486,25-34 years old,USA,93000.0,Redis
489,35-44 years old,Russia,67227.0,PostgreSQL
490,25-34 years old,Germany,144998.0,No database reported
492,35-44 years old,France,59073.0,Elasticsearch
492,35-44 years old,France,59073.0,MariaDB
492,35-44 years old,France,59073.0,MongoDB
492,35-44 years old,France,59073.0,MySQL
493,35-44 years old,Canada,119943.0,Microsoft SQL Server
493,35-44 years old,Canada,119943.0,Oracle
493,35-44 years old,Canada,119943.0,PostgreSQL
493,35-44 years old,Canada,119943.0,Supabase
497,35-44 years old,USA,100000.0,PostgreSQL
497,35-44 years old,USA,100000.0,SQLite
498,25-34 years old,Dominican Republic,14142.0,PostgreSQL
499,55-64 years old,USA,102000.0,Microsoft SQL Server
501,35-44 years old,Turkey,123654.0,No database reported
502,25-34 years old,Ukraine,650.0,MongoDB
502,25-34 years old,Ukraine,650.0,PostgreSQL
506,35-44 years old,Germany,42962.0,MariaDB
506,35-44 years old,Germany,42962.0,MySQL
506,35-44 years old,Germany,42962.0,PostgreSQL
511,35-44 years old,USA,170000.0,Cassandra
511,35-44 years old,USA,170000.0,Microsoft SQL Server
511,35-44 years old,USA,170000.0,PostgreSQL
511,35-44 years old,USA,170000.0,Redis
513,25-34 years old,Austria,42962.0,No database reported
516,25-34 years old,USA,136000.0,Cassandra
516,25-34 years old,USA,136000.0,MariaDB
516,25-34 years old,USA,136000.0,MongoDB
517,55-64 years old,Italy,48333.0,No database reported
518,25-34 years old,USA,3000.0,No database reported
521,55-64 years old,Switzerland,167125.0,SQLite
522,45-54 years old,France,53703.0,Elasticsearch
522,45-54 years old,France,53703.0,PostgreSQL
525,65 years or older,Belgium,46185.0,MySQL
525,65 years or older,Belgium,46185.0,SQLite
528,25-34 years old,Peru,79218.0,No database reported
529,45-54 years old,USA,175000.0,Dynamodb
529,45-54 years old,USA,175000.0,Firebase Realtime Database
529,45-54 years old,USA,175000.0,Microsoft SQL Server
529,45-54 years old,USA,175000.0,Redis
531,35-44 years old,Germany,85925.0,MariaDB
531,35-44 years old,Germany,85925.0,Microsoft SQL Server
531,35-44 years old,Germany,85925.0,SQLite
535,35-44 years old,Bolivia,31200.0,Elasticsearch
535,35-44 years old,Bolivia,31200.0,Microsoft SQL Server
535,35-44 years old,Bolivia,31200.0,MongoDB
535,35-44 years old,Bolivia,31200.0,PostgreSQL
538,25-34 years old,Germany,55851.0,PostgreSQL
539,45-54 years old,USA,130000.0,No database reported
543,18-24 years old,Morocco,3618.0,MongoDB
543,18-24 years old,Morocco,3618.0,MySQL
543,18-24 years old,Morocco,3618.0,SQLite
544,35-44 years old,USA,150000.0,No database reported
549,25-34 years old,India,13160.0,MongoDB
549,25-34 years old,India,13160.0,PostgreSQL
550,25-34 years old,USA,160000.0,PostgreSQL
552,35-44 years old,Turkey,2411.0,No database reported
553,35-44 years old,Luxembourg,118147.0,Microsoft SQL Server
554,35-44 years old,Georgia,50340.0,Microsoft SQL Server
554,35-44 years old,Georgia,50340.0,PostgreSQL
554,35-44 years old,Georgia,50340.0,Redis
554,35-44 years old,Georgia,50340.0,SQLite
560,25-34 years old,Uk,49681.0,SQLite
561,25-34 years old,USA,100000.0,Microsoft SQL Server
561,25-34 years old,USA,100000.0,SQLite
565,35-44 years old,Saudi Arabia,16532.0,Microsoft SQL Server
565,35-44 years old,Saudi Arabia,16532.0,SQLite
566,35-44 years old,USA,100000.0,Microsoft SQL Server
567,35-44 years old,USA,220000.0,Elasticsearch
567,35-44 years old,USA,220000.0,Microsoft SQL Server
567,35-44 years old,USA,220000.0,MongoDB
567,35-44 years old,USA,220000.0,Redis
568,18-24 years old,Ukraine,494.0,MongoDB
568,18-24 years old,Ukraine,494.0,Redis
569,35-44 years old,USA,220000.0,Cockroachdb
569,35-44 years old,USA,220000.0,PostgreSQL
570,25-34 years old,Brazil,10630.0,Microsoft SQL Server
572,25-34 years old,Canada,218079.0,No database reported
573,55-64 years old,USA,140000.0,Microsoft SQL Server
573,55-64 years old,USA,140000.0,SQLite
576,35-44 years old,USA,180000.0,DuckDB
576,35-44 years old,USA,180000.0,PostgreSQL
576,35-44 years old,USA,180000.0,Redis
576,35-44 years old,USA,180000.0,Snowflake
577,35-44 years old,Germany,42962.0,MariaDB
577,35-44 years old,Germany,42962.0,MySQL
577,35-44 years old,Germany,42962.0,SQLite
579,35-44 years old,Uk,75159.0,No database reported
580,45-54 years old,USA,150000.0,PostgreSQL
580,45-54 years old,USA,150000.0,SQLite
582,25-34 years old,Uk,104458.0,Microsoft SQL Server
586,45-54 years old,USA,100000.0,No database reported
587,25-34 years old,Ireland,47259.0,MySQL
588,65 years or older,USA,150000.0,BigQuery
588,65 years or older,USA,150000.0,MariaDB
588,65 years or older,USA,150000.0,PostgreSQL
588,65 years or older,USA,150000.0,Redis
590,25-34 years old,USA,150000.0,Datomic
590,25-34 years old,USA,150000.0,Neo4J
590,25-34 years old,USA,150000.0,PostgreSQL
592,25-34 years old,Germany,96666.0,PostgreSQL
593,35-44 years old,USA,150000.0,Microsoft SQL Server
596,25-34 years old,Ukraine,1740.0,MariaDB
597,55-64 years old,Uk,152865.0,No database reported
599,18-24 years old,Romania,3021.0,Cloud Firestore
599,18-24 years old,Romania,3021.0,Elasticsearch
599,18-24 years old,Romania,3021.0,MySQL
599,18-24 years old,Romania,3021.0,PostgreSQL
599,18-24 years old,Romania,3021.0,SQLite
602,45-54 years old,Italy,29000.0,Microsoft SQL Server
602,45-54 years old,Italy,29000.0,MySQL
602,45-54 years old,Italy,29000.0,Oracle
603,18-24 years old,Ukraine,163.0,PostgreSQL
604,35-44 years old,Uk,67516.0,Neo4J
604,35-44 years old,Uk,67516.0,Oracle
605,55-64 years old,Italy,64444.0,IBM DB2
605,55-64 years old,Italy,64444.0,PostgreSQL
607,55-64 years old,USA,185000.0,Databricks SQL
607,55-64 years old,USA,185000.0,Elasticsearch
607,55-64 years old,USA,185000.0,MariaDB
607,55-64 years old,USA,185000.0,Microsoft SQL Server
607,55-64 years old,USA,185000.0,MongoDB
607,55-64 years old,USA,185000.0,MySQL
607,55-64 years old,USA,185000.0,PostgreSQL
607,55-64 years old,USA,185000.0,SQLite
608,25-34 years old,Switzerland,88019.0,PostgreSQL
608,25-34 years old,Switzerland,88019.0,SQLite
609,25-34 years old,USA,55000.0,Elasticsearch
609,25-34 years old,USA,55000.0,MariaDB
609,25-34 years old,USA,55000.0,MongoDB
609,25-34 years old,USA,55000.0,MySQL
609,25-34 years old,USA,55000.0,PostgreSQL
609,25-34 years old,USA,55000.0,Redis
609,25-34 years old,USA,55000.0,SQLite
611,25-34 years old,Spain,85925.0,No database reported
613,25-34 years old,Spain,91295.0,Cockroachdb
613,25-34 years old,Spain,91295.0,MariaDB
613,25-34 years old,Spain,91295.0,MySQL
613,25-34 years old,Spain,91295.0,PostgreSQL
613,25-34 years old,Spain,91295.0,SQLite
614,18-24 years old,India,5982.0,Microsoft SQL Server
614,18-24 years old,India,5982.0,MongoDB
614,18-24 years old,India,5982.0,MySQL
616,25-34 years old,France,67666.0,No database reported
617,25-34 years old,Italy,178343.0,No database reported
619,35-44 years old,Uk,85350.0,Microsoft SQL Server
621,25-34 years old,USA,120000.0,Dynamodb
621,25-34 years old,USA,120000.0,PostgreSQL
621,25-34 years old,USA,120000.0,SQLite
621,25-34 years old,USA,120000.0,Supabase
623,35-44 years old,Germany,97740.0,PostgreSQL
623,35-44 years old,Germany,97740.0,Redis
623,35-44 years old,Germany,97740.0,SQLite
629,25-34 years old,Cyprus,93980.0,No database reported
630,35-44 years old,Paraguay,100000.0,MongoDB
630,35-44 years old,Paraguay,100000.0,PostgreSQL
630,35-44 years old,Paraguay,100000.0,Redis
632,18-24 years old,Switzerland,128129.0,Cockroachdb
632,18-24 years old,Switzerland,128129.0,MongoDB
633,25-34 years old,France,44037.0,No database reported
634,25-34 years old,USA,101000.0,Microsoft SQL Server
634,25-34 years old,USA,101000.0,PostgreSQL
641,45-54 years old,Ireland,161109.0,Cosmos DB
641,45-54 years old,Ireland,161109.0,EventStoreDB
641,45-54 years old,Ireland,161109.0,MongoDB
641,45-54 years old,Ireland,161109.0,Redis
642,35-44 years old,Germany,89147.0,Microsoft SQL Server
642,35-44 years old,Germany,89147.0,SQLite
650,25-34 years old,Lithuania,90221.0,Microsoft SQL Server
651,25-34 years old,Italy,86999.0,MySQL
651,25-34 years old,Italy,86999.0,PostgreSQL
651,25-34 years old,Italy,86999.0,Redis
651,25-34 years old,Italy,86999.0,SQLite
651,25-34 years old,Italy,86999.0,Supabase
653,25-34 years old,USA,190000.0,Elasticsearch
653,25-34 years old,USA,190000.0,EventStoreDB
653,25-34 years old,USA,190000.0,MariaDB
653,25-34 years old,USA,190000.0,PostgreSQL
653,25-34 years old,USA,190000.0,Redis
653,25-34 years old,USA,190000.0,SQLite
655,18-24 years old,Uk,31847.0,Microsoft SQL Server
656,45-54 years old,Italy,37592.0,Firebird
657,55-64 years old,Netherlands,53703.0,Microsoft SQL Server
659,25-34 years old,Netherlands,150369.0,No database reported
660,18-24 years old,Germany,10955.0,MySQL
660,18-24 years old,Germany,10955.0,PostgreSQL
661,25-34 years old,Slovenia,53703.0,Cosmos DB
663,35-44 years old,Romania,161109.0,MariaDB
663,35-44 years old,Romania,161109.0,MongoDB
663,35-44 years old,Romania,161109.0,MySQL
663,35-44 years old,Romania,161109.0,Redis
664,35-44 years old,Spain,32222.0,MariaDB
664,35-44 years old,Spain,32222.0,PostgreSQL
664,35-44 years old,Spain,32222.0,SQLite
666,25-34 years old,India,47854.0,MongoDB
666,25-34 years old,India,47854.0,PostgreSQL
670,18-24 years old,USA,118000.0,PostgreSQL
671,45-54 years old,USA,150000.0,SQLite
672,35-44 years old,USA,87250.0,MongoDB
672,35-44 years old,USA,87250.0,Solr
676,18-24 years old,Germany,55851.0,InfluxDB
676,18-24 years old,Germany,55851.0,PostgreSQL
678,45-54 years old,Spain,42962.0,MariaDB
678,45-54 years old,Spain,42962.0,MySQL
680,25-34 years old,Netherlands,56925.0,No database reported
682,35-44 years old,Germany,91295.0,PostgreSQL
682,35-44 years old,Germany,91295.0,Redis
683,45-54 years old,Russia,56022.0,SQLite
686,25-34 years old,USA,124000.0,Elasticsearch
686,25-34 years old,USA,124000.0,Oracle
686,25-34 years old,USA,124000.0,Redis
688,18-24 years old,Brazil,10070.0,Cassandra
688,18-24 years old,Brazil,10070.0,Firebird
688,18-24 years old,Brazil,10070.0,MariaDB
688,18-24 years old,Brazil,10070.0,MySQL
688,18-24 years old,Brazil,10070.0,Oracle
688,18-24 years old,Brazil,10070.0,PostgreSQL
688,18-24 years old,Brazil,10070.0,Supabase
690,25-34 years old,Italy,91295.0,PostgreSQL
690,25-34 years old,Italy,91295.0,Redis
691,55-64 years old,USA,120000.0,Oracle
692,25-34 years old,France,44037.0,Cockroachdb
692,25-34 years old,France,44037.0,PostgreSQL
692,25-34 years old,France,44037.0,Redis
692,25-34 years old,France,44037.0,SQLite
693,25-34 years old,Pakistan,85925.0,Dynamodb
693,25-34 years old,Pakistan,85925.0,Elasticsearch
693,25-34 years old,Pakistan,85925.0,MariaDB
693,25-34 years old,Pakistan,85925.0,MongoDB
693,25-34 years old,Pakistan,85925.0,MySQL
693,25-34 years old,Pakistan,85925.0,PostgreSQL
693,25-34 years old,Pakistan,85925.0,Redis
695,45-54 years old,Netherlands,6230.0,PostgreSQL
695,45-54 years old,Netherlands,6230.0,SQLite
697,45-54 years old,Ukraine,4937.0,MongoDB
697,45-54 years old,Ukraine,4937.0,PostgreSQL
697,45-54 years old,Ukraine,4937.0,Redis
700,45-54 years old,Germany,139628.0,PostgreSQL
700,45-54 years old,Germany,139628.0,Redis
701,25-34 years old,Canada,181732.0,Clickhouse
701,25-34 years old,Canada,181732.0,Cosmos DB
701,25-34 years old,Canada,181732.0,Dynamodb
701,25-34 years old,Canada,181732.0,PostgreSQL
701,25-34 years old,Canada,181732.0,Snowflake
703,25-34 years old,USA,205000.0,PostgreSQL
707,55-64 years old,Venezuela,12000.0,No database reported
708,35-44 years old,Japan,50915.0,No database reported
710,25-34 years old,France,69814.0,No database reported
712,25-34 years old,Latvia,32222.0,PostgreSQL
712,25-34 years old,Latvia,32222.0,SQLite
715,35-44 years old,USA,163000.0,Databricks SQL
715,35-44 years old,USA,163000.0,Microsoft SQL Server
718,25-34 years old,Sweden,70584.0,MySQL
719,25-34 years old,Costa Rica,200000.0,MySQL
719,25-34 years old,Costa Rica,200000.0,PostgreSQL
719,25-34 years old,Costa Rica,200000.0,Redis
720,55-64 years old,Italy,107406.0,Firebird
720,55-64 years old,Italy,107406.0,SQLite
722,35-44 years old,Poland,74239.0,No database reported
723,18-24 years old,India,9571.0,Cassandra
723,18-24 years old,India,9571.0,Cockroachdb
723,18-24 years old,India,9571.0,Cosmos DB
723,18-24 years old,India,9571.0,Dynamodb
723,18-24 years old,India,9571.0,Elasticsearch
723,18-24 years old,India,9571.0,Firebase Realtime Database
723,18-24 years old,India,9571.0,MariaDB
723,18-24 years old,India,9571.0,Microsoft SQL Server
723,18-24 years old,India,9571.0,MongoDB
723,18-24 years old,India,9571.0,MySQL
723,18-24 years old,India,9571.0,Oracle
723,18-24 years old,India,9571.0,PostgreSQL
723,18-24 years old,India,9571.0,Redis
723,18-24 years old,India,9571.0,SQLite
723,18-24 years old,India,9571.0,Supabase
725,35-44 years old,France,66592.0,No database reported
726,65 years or older,Uk,57325.0,Microsoft SQL Server
728,35-44 years old,Uk,56051.0,InfluxDB
728,35-44 years old,Uk,56051.0,SQLite
729,35-44 years old,Italy,27926.0,MariaDB
729,35-44 years old,Italy,27926.0,MySQL
730,45-54 years old,Germany,214812.0,MariaDB
730,45-54 years old,Germany,214812.0,Microsoft SQL Server
730,45-54 years old,Germany,214812.0,MySQL
730,45-54 years old,Germany,214812.0,PostgreSQL
731,25-34 years old,USA,105000.0,Cloud Firestore
731,25-34 years old,USA,105000.0,PostgreSQL
731,25-34 years old,USA,105000.0,SQLite
733,55-64 years old,Brazil,49233.0,No database reported
734,35-44 years old,Czech Republic,43435.0,No database reported
738,25-34 years old,Ukraine,48000.0,MongoDB
738,25-34 years old,Ukraine,48000.0,PostgreSQL
739,35-44 years old,USA,70000.0,Microsoft SQL Server
739,35-44 years old,USA,70000.0,MySQL
739,35-44 years old,USA,70000.0,Redis
741,45-54 years old,USA,150000.0,Microsoft SQL Server
741,45-54 years old,USA,150000.0,RavenDB
742,35-44 years old,Uk,127388.0,Dynamodb
743,45-54 years old,Spain,53703.0,No database reported
745,25-34 years old,Netherlands,91295.0,Clickhouse
745,25-34 years old,Netherlands,91295.0,Cockroachdb
745,25-34 years old,Netherlands,91295.0,PostgreSQL
745,25-34 years old,Netherlands,91295.0,SQLite
747,35-44 years old,Canada,122124.0,MongoDB
747,35-44 years old,Canada,122124.0,Redis
751,35-44 years old,Norway,149746.0,PostgreSQL
754,35-44 years old,Germany,137136.0,SQLite
760,25-34 years old,Austria,80555.0,PostgreSQL
762,25-34 years old,USA,175000.0,BigQuery
762,25-34 years old,USA,175000.0,PostgreSQL
763,18-24 years old,USA,39520.0,Cosmos DB
763,18-24 years old,USA,39520.0,InfluxDB
763,18-24 years old,USA,39520.0,Microsoft SQL Server
763,18-24 years old,USA,39520.0,MySQL
763,18-24 years old,USA,39520.0,PostgreSQL
763,18-24 years old,USA,39520.0,Redis
763,18-24 years old,USA,39520.0,SQLite
764,35-44 years old,Uk,68535.0,InfluxDB
764,35-44 years old,Uk,68535.0,Oracle
765,25-34 years old,USA,120000.0,PostgreSQL
766,25-34 years old,Uk,114649.0,No database reported
769,35-44 years old,USA,80000.0,No database reported
770,35-44 years old,Poland,120000.0,Cosmos DB
770,35-44 years old,Poland,120000.0,Microsoft SQL Server
770,35-44 years old,Poland,120000.0,MongoDB
770,35-44 years old,Poland,120000.0,PostgreSQL
770,35-44 years old,Poland,120000.0,SQLite
771,18-24 years old,Uk,33121.0,No database reported
773,18-24 years old,Ukraine,167.0,MongoDB
773,18-24 years old,Ukraine,167.0,PostgreSQL
775,25-34 years old,Portugal,128887.0,Cloud Firestore
775,25-34 years old,Portugal,128887.0,MariaDB
775,25-34 years old,Portugal,128887.0,SQLite
777,45-54 years old,Finland,84851.0,No database reported
779,35-44 years old,Canada,87231.0,Cosmos DB
779,35-44 years old,Canada,87231.0,Microsoft SQL Server
779,35-44 years old,Canada,87231.0,MongoDB
779,35-44 years old,Canada,87231.0,Redis
780,25-34 years old,Canada,93047.0,MongoDB
780,25-34 years old,Canada,93047.0,PostgreSQL
780,25-34 years old,Canada,93047.0,Redis
