ResponseId,Age,Country_Normalized,EdLevel_Normalized,devtype_grouped,YearsCodePro_Normalized,ConvertedCompYearly,RemoteWork
73,18-24 years old,Pakistan,high-school,Data & AI,1.0,7322.0,Hybrid
375,25-34 years old,Austria,Professional degree,Research & Education,6.0,30074.0,Hybrid
380,35-44 years old,Turkey,Master degree,Data & AI,6.0,91295.0,Remote
386,35-44 years old,France,Master degree,Software Developer,17.0,53703.0,Remote
390,25-34 years old,USA,Some college,Research & Education,7.0,110000.0,Remote
393,35-44 years old,Uk,Professional degree,Management,18.0,161044.0,Hybrid
396,45-54 years old,Uk,Master degree,Other,25.0,121018.0,Remote
399,45-54 years old,USA,Some college,Software Developer,30.0,195000.0,Remote
404,35-44 years old,Bulgaria,Some college,Software Developer,20.0,44586.0,Remote
410,55-64 years old,France,Professional degree,Research & Education,50.0,57999.0,In-person
415,45-54 years old,Uk,Bachelor degree,Software Developer,27.0,184712.0,Remote
416,35-44 years old,Greece,Master degree,Software Developer,16.0,79481.0,Remote
417,35-44 years old,Brazil,Master degree,Software Developer,17.0,170000.0,Remote
418,25-34 years old,Germany,Master degree,Research & Education,1.0,29000.0,In-person
424,25-34 years old,Italy,Some college,Software Developer,4.0,66592.0,Remote
425,55-64 years old,Germany,Master degree,Software Developer,30.0,85925.0,Remote
426,35-44 years old,Uk,Bachelor degree,Software Developer,15.0,124840.0,Remote
427,18-24 years old,Ukraine,Bachelor degree,Software Developer,4.0,50000.0,Remote
432,35-44 years old,USA,Bachelor degree,Software Developer,23.0,85000.0,In-person
433,35-44 years old,USA,high-school,Software Developer,18.0,160000.0,Remote
441,55-64 years old,USA,Bachelor degree,Software Developer,23.0,110000.0,Remote
443,35-44 years old,USA,Master degree,Management,18.0,190000.0,In-person
444,35-44 years old,Uk,Bachelor degree,Other,17.0,161783.0,Remote
445,25-34 years old,Uk,Bachelor degree,Software Developer,10.0,146496.0,Remote
446,18-24 years old,Russia,high-school,Software Developer,1.0,12773.0,In-person
447,25-34 years old,Germany,Master degree,Software Developer,10.0,69814.0,Hybrid
448,45-54 years old,USA,Associate degree,Software Developer,10.0,115000.0,In-person
452,25-34 years old,South Africa,Some college,Software Developer,9.0,64570.0,Remote
456,25-34 years old,France,Bachelor degree,Software Developer,7.0,101896.0,Hybrid
459,35-44 years old,Czech Republic,Master degree,Software Developer,11.0,52122.0,Hybrid
460,25-34 years old,France,Master degree,Software Developer,8.0,54777.0,In-person
465,35-44 years old,Germany,Master degree,Software Developer,15.0,27926.0,In-person
466,45-54 years old,Italy,Some college,Management,27.0,107406.0,Hybrid
468,25-34 years old,Brazil,Some college,Software Developer,12.0,37297.0,Remote
470,45-54 years old,USA,Bachelor degree,Software Developer,26.0,140000.0,Remote
473,25-34 years old,Iran,Master degree,Software Developer,9.0,213840.0,In-person
477,25-34 years old,Italy,Bachelor degree,Research & Education,7.0,4833.0,Remote
478,55-64 years old,USA,Master degree,Software Developer,40.0,200000.0,Remote
485,18-24 years old,Ukraine,Primary-school,Software Developer,0.0,148.0,Hybrid
486,25-34 years old,USA,Associate degree,Software Developer,4.0,93000.0,Remote
489,35-44 years old,Russia,Master degree,Software Developer,14.0,67227.0,Remote
490,25-34 years old,Germany,Bachelor degree,Software Developer,10.0,144998.0,Hybrid
492,35-44 years old,France,Some college,Software Developer,16.0,59073.0,Remote
493,35-44 years old,Canada,Bachelor degree,Software Developer,17.0,119943.0,Hybrid
497,35-44 years old,USA,Professional degree,Research & Education,9.0,100000.0,Hybrid
498,25-34 years old,Dominican Republic,Bachelor degree,Data & AI,7.0,14142.0,Hybrid
499,55-64 years old,USA,Bachelor degree,Software Developer,22.0,102000.0,Remote
501,35-44 years old,Turkey,Bachelor degree,Management,15.0,123654.0,Remote
502,25-34 years old,Ukraine,Master degree,Software Developer,1.0,650.0,Remote
506,35-44 years old,Germany,Some college,Software Developer,20.0,42962.0,Remote
511,35-44 years old,USA,Bachelor degree,Software Developer,11.0,170000.0,Remote
513,25-34 years old,Austria,Some college,Software Developer,5.0,42962.0,Remote
516,25-34 years old,USA,Bachelor degree,Infrastructure & DevOps,1.0,136000.0,Remote
517,55-64 years old,Italy,Master degree,Software Developer,28.0,48333.0,Hybrid
518,25-34 years old,USA,Some college,Infrastructure & DevOps,3.0,3000.0,Remote
521,55-64 years old,Switzerland,Bachelor degree,Software Developer,44.0,167125.0,Hybrid
522,45-54 years old,France,Some college,Management,25.0,53703.0,Hybrid
525,65 years or older,Belgium,Master degree,Software Developer,42.0,46185.0,Hybrid
528,25-34 years old,Peru,Professional degree,Software Developer,13.0,79218.0,Hybrid
529,45-54 years old,USA,Bachelor degree,Software Developer,20.0,175000.0,In-person
531,35-44 years old,Germany,Master degree,Software Developer,16.0,85925.0,Hybrid
535,35-44 years old,Bolivia,Bachelor degree,Software Developer,10.0,31200.0,Remote
538,25-34 years old,Germany,other,Infrastructure & DevOps,11.0,55851.0,Remote
539,45-54 years old,USA,high-school,Software Developer,25.0,130000.0,Remote
543,18-24 years old,Morocco,Master degree,Software Developer,0.0,3618.0,In-person
544,35-44 years old,USA,Master degree,Research & Education,13.0,150000.0,In-person
549,25-34 years old,India,Master degree,Software Developer,4.0,13160.0,Remote
550,25-34 years old,USA,Some college,Other,9.0,160000.0,Remote
552,35-44 years old,Turkey,Bachelor degree,Software Developer,13.0,2411.0,Remote
553,35-44 years old,Luxembourg,Master degree,Software Developer,7.0,118147.0,Remote
554,35-44 years old,Georgia,Bachelor degree,Software Developer,17.0,50340.0,Remote
560,25-34 years old,Uk,Professional degree,Research & Education,3.0,49681.0,Hybrid
561,25-34 years old,USA,Bachelor degree,Software Developer,9.0,100000.0,Hybrid
565,35-44 years old,Saudi Arabia,Bachelor degree,Other,10.0,16532.0,Hybrid
566,35-44 years old,USA,Associate degree,Software Developer,15.0,100000.0,Remote
567,35-44 years old,USA,Master degree,Software Developer,22.0,220000.0,Remote
568,18-24 years old,Ukraine,Bachelor degree,Software Developer,2.0,494.0,Remote
569,35-44 years old,USA,Bachelor degree,Software Developer,13.0,220000.0,Remote
570,25-34 years old,Brazil,Bachelor degree,Software Developer,11.0,10630.0,Remote
572,25-34 years old,Canada,Some college,Software Developer,12.0,218079.0,Remote
573,55-64 years old,USA,Bachelor degree,Software Developer,35.0,140000.0,Remote
576,35-44 years old,USA,Master degree,Software Developer,20.0,180000.0,Hybrid
577,35-44 years old,Germany,Bachelor degree,Software Developer,26.0,42962.0,Remote
579,35-44 years old,Uk,Master degree,Software Developer,10.0,75159.0,Hybrid
580,45-54 years old,USA,Bachelor degree,Software Developer,25.0,150000.0,Hybrid
582,25-34 years old,Uk,Bachelor degree,Software Developer,9.0,104458.0,Remote
586,45-54 years old,USA,Professional degree,Data & AI,15.0,100000.0,Remote
587,25-34 years old,Ireland,Master degree,Software Developer,7.0,47259.0,Remote
588,65 years or older,USA,Bachelor degree,Software Developer,31.0,150000.0,Remote
590,25-34 years old,USA,Bachelor degree,Software Developer,11.0,150000.0,Remote
592,25-34 years old,Germany,Bachelor degree,Software Developer,12.0,96666.0,Remote
593,35-44 years old,USA,Associate degree,Software Developer,10.0,150000.0,Hybrid
596,25-34 years old,Ukraine,Master degree,Software Developer,8.0,1740.0,Remote
597,55-64 years old,Uk,Bachelor degree,Other,41.0,152865.0,Hybrid
599,18-24 years old,Romania,Bachelor degree,Data & AI,2.0,3021.0,Remote
602,45-54 years old,Italy,high-school,Software Developer,25.0,29000.0,Remote
603,18-24 years old,Ukraine,Master degree,Software Developer,2.0,163.0,Remote
604,35-44 years old,Uk,Bachelor degree,Other,10.0,67516.0,Hybrid
605,55-64 years old,Italy,high-school,Software Developer,36.0,64444.0,Hybrid
607,55-64 years old,USA,Bachelor degree,Software Developer,20.0,185000.0,Remote
608,25-34 years old,Switzerland,Bachelor degree,Other,7.0,88019.0,Hybrid
609,25-34 years old,USA,high-school,Security & Blockchain,24.0,55000.0,Remote
611,25-34 years old,Spain,Master degree,Infrastructure & DevOps,10.0,85925.0,Remote
613,25-34 years old,Spain,Master degree,Management,11.0,91295.0,Remote
614,18-24 years old,India,Bachelor degree,Software Developer,5.0,5982.0,Remote
616,25-34 years old,France,Master degree,Software Developer,12.0,67666.0,Hybrid
617,25-34 years old,Italy,Master degree,Other,11.0,178343.0,Remote
619,35-44 years old,Uk,Master degree,Software Developer,14.0,85350.0,Remote
621,25-34 years old,USA,Bachelor degree,Software Developer,3.0,120000.0,Hybrid
