ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,PlatformHaveWorkedWith
73,Pakistan,7322.0,Data & AI,Microsoft Azure
73,Pakistan,7322.0,Data & AI,VMware
375,Austria,30074.0,Research & Education,No platform reported
380,Turkey,91295.0,Data & AI,Amazon Web Services (AWS)
380,Turkey,91295.0,Data & AI,Cloudflare
380,Turkey,91295.0,Data & AI,Digital Ocean
380,Turkey,91295.0,Data & AI,Hetzner
380,Turkey,91295.0,Data & AI,Netlify
380,Turkey,91295.0,Data & AI,Vercel
386,France,53703.0,Software Developer,Amazon Web Services (AWS)
386,France,53703.0,Software Developer,Google Cloud
390,USA,110000.0,Research & Education,Amazon Web Services (AWS)
393,Uk,161044.0,Management,Amazon Web Services (AWS)
396,Uk,121018.0,Other,Amazon Web Services (AWS)
396,Uk,121018.0,Other,Cloudflare
399,USA,195000.0,Software Developer,Microsoft Azure
404,Bulgaria,44586.0,Software Developer,No platform reported
410,France,57999.0,Research & Education,No platform reported
415,Uk,184712.0,Software Developer,Amazon Web Services (AWS)
416,Greece,79481.0,Software Developer,No platform reported
417,Brazil,170000.0,Software Developer,Amazon Web Services (AWS)
417,Brazil,170000.0,Software Developer,Fly.io
418,Germany,29000.0,Research & Education,No platform reported
424,Italy,66592.0,Software Developer,Amazon Web Services (AWS)
424,Italy,66592.0,Software Developer,Google Cloud
424,Italy,66592.0,Software Developer,Netlify
425,Germany,85925.0,Software Developer,No platform reported
426,Uk,124840.0,Software Developer,Netlify
427,Ukraine,50000.0,Software Developer,No platform reported
432,USA,85000.0,Software Developer,Amazon Web Services (AWS)
432,USA,85000.0,Software Developer,Cloudflare
432,USA,85000.0,Software Developer,Firebase
432,USA,85000.0,Software Developer,Google Cloud
432,USA,85000.0,Software Developer,VMware
433,USA,160000.0,Software Developer,Amazon Web Services (AWS)
433,USA,160000.0,Software Developer,Google Cloud
433,USA,160000.0,Software Developer,Microsoft Azure
441,USA,110000.0,Software Developer,Microsoft Azure
443,USA,190000.0,Management,Google Cloud
444,Uk,161783.0,Other,Amazon Web Services (AWS)
444,Uk,161783.0,Other,Netlify
445,Uk,146496.0,Software Developer,Cloudflare
445,Uk,146496.0,Software Developer,Firebase
445,Uk,146496.0,Software Developer,Google Cloud
445,Uk,146496.0,Software Developer,Vercel
446,Russia,12773.0,Software Developer,No platform reported
447,Germany,69814.0,Software Developer,No platform reported
448,USA,115000.0,Software Developer,Amazon Web Services (AWS)
452,South Africa,64570.0,Software Developer,Amazon Web Services (AWS)
452,South Africa,64570.0,Software Developer,Hetzner
452,South Africa,64570.0,Software Developer,Managed Hosting
456,France,101896.0,Software Developer,Amazon Web Services (AWS)
456,France,101896.0,Software Developer,Microsoft Azure
459,Czech Republic,52122.0,Software Developer,Amazon Web Services (AWS)
459,Czech Republic,52122.0,Software Developer,OpenShift
459,Czech Republic,52122.0,Software Developer,OpenStack
460,France,54777.0,Software Developer,Microsoft Azure
465,Germany,27926.0,Software Developer,No platform reported
466,Italy,107406.0,Management,Amazon Web Services (AWS)
466,Italy,107406.0,Management,Google Cloud
466,Italy,107406.0,Management,Microsoft Azure
468,Brazil,37297.0,Software Developer,Amazon Web Services (AWS)
468,Brazil,37297.0,Software Developer,Google Cloud
470,USA,140000.0,Software Developer,Amazon Web Services (AWS)
473,Iran,213840.0,Software Developer,No platform reported
477,Italy,4833.0,Research & Education,No platform reported
478,USA,200000.0,Software Developer,No platform reported
485,Ukraine,148.0,Software Developer,No platform reported
486,USA,93000.0,Software Developer,Amazon Web Services (AWS)
489,Russia,67227.0,Software Developer,Firebase
490,Germany,144998.0,Software Developer,Amazon Web Services (AWS)
492,France,59073.0,Software Developer,Digital Ocean
493,Canada,119943.0,Software Developer,Microsoft Azure
497,USA,100000.0,Research & Education,Cloudflare
497,USA,100000.0,Research & Education,Google Cloud
497,USA,100000.0,Research & Education,Managed Hosting
498,Dominican Republic,14142.0,Data & AI,No platform reported
499,USA,102000.0,Software Developer,Microsoft Azure
501,Turkey,123654.0,Management,Amazon Web Services (AWS)
502,Ukraine,650.0,Software Developer,Amazon Web Services (AWS)
502,Ukraine,650.0,Software Developer,Google Cloud
506,Germany,42962.0,Software Developer,Amazon Web Services (AWS)
506,Germany,42962.0,Software Developer,Google Cloud
506,Germany,42962.0,Software Developer,Hetzner
511,USA,170000.0,Software Developer,Amazon Web Services (AWS)
513,Austria,42962.0,Software Developer,No platform reported
516,USA,136000.0,Infrastructure & DevOps,Amazon Web Services (AWS)
516,USA,136000.0,Infrastructure & DevOps,Cloudflare
516,USA,136000.0,Infrastructure & DevOps,Google Cloud
517,Italy,48333.0,Software Developer,No platform reported
518,USA,3000.0,Infrastructure & DevOps,No platform reported
521,Switzerland,167125.0,Software Developer,Amazon Web Services (AWS)
521,Switzerland,167125.0,Software Developer,Microsoft Azure
522,France,53703.0,Management,Colocation
522,France,53703.0,Management,Scaleway
525,Belgium,46185.0,Software Developer,No platform reported
528,Peru,79218.0,Software Developer,Amazon Web Services (AWS)
528,Peru,79218.0,Software Developer,Firebase
528,Peru,79218.0,Software Developer,Google Cloud
528,Peru,79218.0,Software Developer,Heroku
528,Peru,79218.0,Software Developer,Microsoft Azure
529,USA,175000.0,Software Developer,Amazon Web Services (AWS)
531,Germany,85925.0,Software Developer,Microsoft Azure
535,Bolivia,31200.0,Software Developer,Amazon Web Services (AWS)
538,Germany,55851.0,Infrastructure & DevOps,No platform reported
539,USA,130000.0,Software Developer,No platform reported
543,Morocco,3618.0,Software Developer,Google Cloud
543,Morocco,3618.0,Software Developer,"Linode, now Akamai"
544,USA,150000.0,Research & Education,Amazon Web Services (AWS)
549,India,13160.0,Software Developer,Amazon Web Services (AWS)
549,India,13160.0,Software Developer,Firebase
549,India,13160.0,Software Developer,Microsoft Azure
550,USA,160000.0,Other,Amazon Web Services (AWS)
550,USA,160000.0,Other,Google Cloud
