ResponseId,Age,Country_Normalized,ConvertedCompYearly,PlatformWantToWorkWith
73,18-24 years old,Pakistan,7322.0,Amazon Web Services (AWS)
73,18-24 years old,Pakistan,7322.0,Databricks
73,18-24 years old,Pakistan,7322.0,Google Cloud
375,25-34 years old,Austria,30074.0,No platform reported
380,35-44 years old,Turkey,91295.0,Amazon Web Services (AWS)
380,35-44 years old,Turkey,91295.0,Cloudflare
380,35-44 years old,Turkey,91295.0,Google Cloud
380,35-44 years old,Turkey,91295.0,Hetzner
386,35-44 years old,France,53703.0,Amazon Web Services (AWS)
386,35-44 years old,France,53703.0,Google Cloud
390,25-34 years old,USA,110000.0,No platform reported
393,35-44 years old,Uk,161044.0,Amazon Web Services (AWS)
396,45-54 years old,Uk,121018.0,Amazon Web Services (AWS)
396,45-54 years old,Uk,121018.0,Cloudflare
399,45-54 years old,USA,195000.0,Amazon Web Services (AWS)
399,45-54 years old,USA,195000.0,Google Cloud
399,45-54 years old,USA,195000.0,Microsoft Azure
404,35-44 years old,Bulgaria,44586.0,No platform reported
410,55-64 years old,France,57999.0,No platform reported
415,45-54 years old,Uk,184712.0,No platform reported
416,35-44 years old,Greece,79481.0,No platform reported
417,35-44 years old,Brazil,170000.0,Amazon Web Services (AWS)
417,35-44 years old,Brazil,170000.0,Fly.io
418,25-34 years old,Germany,29000.0,No platform reported
424,25-34 years old,Italy,66592.0,Supabase
425,55-64 years old,Germany,85925.0,No platform reported
426,35-44 years old,Uk,124840.0,Netlify
427,18-24 years old,Ukraine,50000.0,No platform reported
432,35-44 years old,USA,85000.0,Amazon Web Services (AWS)
432,35-44 years old,USA,85000.0,Cloudflare
432,35-44 years old,USA,85000.0,Firebase
432,35-44 years old,USA,85000.0,Google Cloud
432,35-44 years old,USA,85000.0,VMware
433,35-44 years old,USA,160000.0,Google Cloud
441,55-64 years old,USA,110000.0,No platform reported
443,35-44 years old,USA,190000.0,Google Cloud
444,35-44 years old,Uk,161783.0,Amazon Web Services (AWS)
444,35-44 years old,Uk,161783.0,Netlify
444,35-44 years old,Uk,161783.0,OpenStack
444,35-44 years old,Uk,161783.0,Vercel
445,25-34 years old,Uk,146496.0,Cloudflare
445,25-34 years old,Uk,146496.0,Firebase
445,25-34 years old,Uk,146496.0,Google Cloud
446,18-24 years old,Russia,12773.0,No platform reported
447,25-34 years old,Germany,69814.0,No platform reported
