ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,WebframeHaveWorkedWith
73,Pakistan,7322.0,Data & AI,Angular
73,Pakistan,7322.0,Data & AI,AngularJS
73,Pakistan,7322.0,Data & AI,Express
73,Pakistan,7322.0,Data & AI,FastAPI
73,Pakistan,7322.0,Data & AI,Flask
73,Pakistan,7322.0,Data & AI,jQuery
73,Pakistan,7322.0,Data & AI,Node.js
375,Austria,30074.0,Research & Education,No webframe reported
380,Turkey,91295.0,Data & AI,Next.js
380,Turkey,91295.0,Data & AI,React
380,Turkey,91295.0,Data & AI,Vue.js
386,France,53703.0,Software Developer,Django
390,USA,110000.0,Research & Education,FastAPI
390,USA,110000.0,Research & Education,Flask
390,USA,110000.0,Research & Education,Node.js
390,USA,110000.0,Research & Education,Vue.js
393,Uk,161044.0,Management,React
396,Uk,121018.0,Other,Node.js
399,USA,195000.0,Software Developer,Angular
399,USA,195000.0,Software Developer,ASP.NET CORE
399,USA,195000.0,Software Developer,React
404,Bulgaria,44586.0,Software Developer,No webframe reported
410,France,57999.0,Research & Education,FastAPI
410,France,57999.0,Research & Education,Flask
410,France,57999.0,Research & Education,React
415,Uk,184712.0,Software Developer,No webframe reported
416,Greece,79481.0,Software Developer,Node.js
416,Greece,79481.0,Software Developer,React
417,Brazil,170000.0,Software Developer,Express
417,Brazil,170000.0,Software Developer,Node.js
417,Brazil,170000.0,Software Developer,Phoenix
418,Germany,29000.0,Research & Education,No webframe reported
424,Italy,66592.0,Software Developer,Express
424,Italy,66592.0,Software Developer,NestJS
424,Italy,66592.0,Software Developer,Next.js
424,Italy,66592.0,Software Developer,Node.js
424,Italy,66592.0,Software Developer,React
425,Germany,85925.0,Software Developer,No webframe reported
426,Uk,124840.0,Software Developer,Astro
426,Uk,124840.0,Software Developer,Express
426,Uk,124840.0,Software Developer,React
427,Ukraine,50000.0,Software Developer,No webframe reported
432,USA,85000.0,Software Developer,ASP.NET
432,USA,85000.0,Software Developer,Node.js
433,USA,160000.0,Software Developer,Angular
433,USA,160000.0,Software Developer,ASP.NET CORE
441,USA,110000.0,Software Developer,jQuery
443,USA,190000.0,Management,No webframe reported
444,Uk,161783.0,Other,ASP.NET CORE
444,Uk,161783.0,Other,Flask
444,Uk,161783.0,Other,Next.js
444,Uk,161783.0,Other,Node.js
444,Uk,161783.0,Other,React
445,Uk,146496.0,Software Developer,Next.js
445,Uk,146496.0,Software Developer,WordPress
446,Russia,12773.0,Software Developer,Django
446,Russia,12773.0,Software Developer,Flask
446,Russia,12773.0,Software Developer,React
447,Germany,69814.0,Software Developer,Angular
447,Germany,69814.0,Software Developer,FastAPI
447,Germany,69814.0,Software Developer,Flask
447,Germany,69814.0,Software Developer,Svelte
448,USA,115000.0,Software Developer,AngularJS
448,USA,115000.0,Software Developer,ASP.NET CORE
452,South Africa,64570.0,Software Developer,ASP.NET
452,South Africa,64570.0,Software Developer,ASP.NET CORE
452,South Africa,64570.0,Software Developer,Htmx
452,South Africa,64570.0,Software Developer,jQuery
452,South Africa,64570.0,Software Developer,Node.js
452,South Africa,64570.0,Software Developer,React
452,South Africa,64570.0,Software Developer,WordPress
456,France,101896.0,Software Developer,Node.js
456,France,101896.0,Software Developer,React
456,France,101896.0,Software Developer,Symfony
459,Czech Republic,52122.0,Software Developer,Drupal
459,Czech Republic,52122.0,Software Developer,React
460,France,54777.0,Software Developer,ASP.NET
460,France,54777.0,Software Developer,ASP.NET CORE
460,France,54777.0,Software Developer,Blazor
460,France,54777.0,Software Developer,jQuery
465,Germany,27926.0,Software Developer,No webframe reported
466,Italy,107406.0,Management,Django
466,Italy,107406.0,Management,FastAPI
466,Italy,107406.0,Management,Flask
466,Italy,107406.0,Management,Htmx
468,Brazil,37297.0,Software Developer,Express
468,Brazil,37297.0,Software Developer,Fastify
468,Brazil,37297.0,Software Developer,Node.js
468,Brazil,37297.0,Software Developer,React
470,USA,140000.0,Software Developer,No webframe reported
473,Iran,213840.0,Software Developer,React
473,Iran,213840.0,Software Developer,Spring Boot
477,Italy,4833.0,Research & Education,No webframe reported
478,USA,200000.0,Software Developer,No webframe reported
485,Ukraine,148.0,Software Developer,Next.js
485,Ukraine,148.0,Software Developer,React
486,USA,93000.0,Software Developer,Express
486,USA,93000.0,Software Developer,Node.js
486,USA,93000.0,Software Developer,Spring Boot
489,Russia,67227.0,Software Developer,Gatsby
489,Russia,67227.0,Software Developer,React
490,Germany,144998.0,Software Developer,Express
490,Germany,144998.0,Software Developer,Next.js
490,Germany,144998.0,Software Developer,Node.js
490,Germany,144998.0,Software Developer,React
