ResponseId,Age,Country_Normalized,ConvertedCompYearly,WebframeWantToWorkWith
73,18-24 years old,Pakistan,7322.0,Django
375,25-34 years old,Austria,30074.0,No webframe reported
380,35-44 years old,Turkey,91295.0,Svelte
380,35-44 years old,Turkey,91295.0,Vue.js
386,35-44 years old,France,53703.0,Django
386,35-44 years old,France,53703.0,FastAPI
390,25-34 years old,USA,110000.0,No webframe reported
393,35-44 years old,Uk,161044.0,React
396,45-54 years old,Uk,121018.0,No webframe reported
399,45-54 years old,USA,195000.0,Angular
399,45-54 years old,USA,195000.0,ASP.NET CORE
399,45-54 years old,USA,195000.0,Htmx
399,45-54 years old,USA,195000.0,jQuery
399,45-54 years old,USA,195000.0,React
404,35-44 years old,Bulgaria,44586.0,No webframe reported
410,55-64 years old,France,57999.0,FastAPI
410,55-64 years old,France,57999.0,Flask
410,55-64 years old,France,57999.0,React
415,45-54 years old,Uk,184712.0,No webframe reported
416,35-44 years old,Greece,79481.0,Angular
416,35-44 years old,Greece,79481.0,AngularJS
416,35-44 years old,Greece,79481.0,Node.js
416,35-44 years old,Greece,79481.0,React
417,35-44 years old,Brazil,170000.0,Phoenix
418,25-34 years old,Germany,29000.0,No webframe reported
424,25-34 years old,Italy,66592.0,NestJS
424,25-34 years old,Italy,66592.0,Vue.js
425,55-64 years old,Germany,85925.0,No webframe reported
426,35-44 years old,Uk,124840.0,Astro
426,35-44 years old,Uk,124840.0,React
427,18-24 years old,Ukraine,50000.0,No webframe reported
432,35-44 years old,USA,85000.0,ASP.NET
432,35-44 years old,USA,85000.0,Node.js
433,35-44 years old,USA,160000.0,Angular
441,55-64 years old,USA,110000.0,No webframe reported
443,35-44 years old,USA,190000.0,No webframe reported
444,35-44 years old,Uk,161783.0,ASP.NET CORE
444,35-44 years old,Uk,161783.0,Next.js
444,35-44 years old,Uk,161783.0,Node.js
444,35-44 years old,Uk,161783.0,React
445,25-34 years old,Uk,146496.0,Next.js
445,25-34 years old,Uk,146496.0,Play Framework
446,18-24 years old,Russia,12773.0,Django
